No.,Cod.,"Centro de Costo","Punto BI",Agencia,Ubicación,Dirección,"Tiempo de respuesta","Base de Patrullaje","Patrullaje Para Abastecimiento","TIEMPO DE RESPUESTA (MN)","SECTOR OPERATIVO",VALORES
17,A017,08.2.017,AGENCIA,"AGENCIA LAS AMERICAS  (A017)",LOCAL,"20 calle 0-70 zona 10",0:10:00,"Base Las Americas",SI,"Sin cobertura",,EBANO
18,A017A,08.2.017,AGENCIA,"AGENCIA AMERICAS LOBBY (A17A)",LOCAL,"20 calle 0-70 zona 10",0:10:00,"Base Las Americas",N/A,"Sin cobertura",,EBANO
19,A018,08.2.018,AGENCIA,"AGENCIA VISTA HERMOSA (A018)",LOCAL,"2 calle 20-50zona 15 Vista Herm.II",0:10:00,"Base zona 15","Pre autorizado","Sin cobertura",,EBANO
20,A019,08.2.019,AGENCIA,"AGENCIA MAZATENANGO (A019)",DEPARTAMENTAL,"7a calle 2-52 zona 1 Mazatenango",0:10:00,"Agencia Ebano Mazatenango",N/A,"Sin cobertura",,EBANO
21,A020,08.2.020,AGENCIA,"AGENCIA RETALHULEU (A020)",DEPARTAMENTAL,"6a calle 5-17 zona 1 Retalh.",0:10:00,"Agencia Ebano Retalhuleu",N/A,"Sin cobertura",,EBANO
22,A021,08.2.021,AGENCIA,"AGENCIA COATEPEQUE (A021)",DEPARTAMENTAL,"5a. Calle 4-32 zona 1",0:10:00,"Agencia Ebano Coatepeque",SI,"Sin cobertura",,EBANO
23,A023,08.2.023,AGENCIA,"AGENCIA PANAJACHEL (A023)",DEPARTAMENTAL,"Calle Santander 4-05 zona 1 Panj.",0:20:00,"Agencia Ebano Panajachel",SI,"Sin cobertura",,EBANO
24,A027,08.2.027,AGENCIA,"AGENCIA PETAPA I (A027)",LOCAL,"Av. Petapa 39-32 zona 12",0:10:00,"Base Petapa Santa Elisa",SI,"Sin cobertura",,EBANO
25,A028,08.2.028,AGENCIA,"AGENCIA SANTA LUCIA COTZ. (A028)",DEPARTAMENTAL,"3a Av. 2-65 zona 1 Sta. Lucia Cotz.",0:10:00,"Agencia Ebano Santa Lucia",N/A,"Sin cobertura",,EBANO
26,A029,08.2.029,AGENCIA,"AGENCIA VILLA NUEVA (A029)",LOCAL,"5a calle 5-19 zona 1 Villa Nueva",0:10:00,"Base Villa Nueva",N/A,"Sin cobertura",,EBANO
27,A030,08.2.030,AGENCIA,"AGENCIA SAN JOSE PINULA (A030)",LOCAL,"1a. Avenida 7-23, zona 1, Boulevard Principal, San",0:10:00,"Base Condado",N/A,"Sin cobertura",,EBANO
28,A031,08.2.031,AGENCIA,"AGENCIA ZACAPA (A031)",DEPARTAMENTAL,"4a calle 10-45 zona 1 Zacapa",0:10:00,"Agencia Ebano Zacapa",N/A,"Sin cobertura",,EBANO
29,A032,08.2.032,AGENCIA,"AGENCIA QUICHE  (A032)",DEPARTAMENTAL,"2a av. Y 13 calle zona 1",0:10:00,"Agencia Ebano Quiche",SI,"Sin cobertura",,EBANO
30,A033,08.2.033,AGENCIA,"AGENCIA ESQUIPULAS  (A033)",DEPARTAMENTAL,"3a av. Calle Princ. 9a calle zona 1",0:10:00,"Agencia Ebano Esquipulas",N/A,"Sin cobertura",,EBANO
31,A034,08.2.034,AGENCIA,"AGENCIA COBAN (A034)",DEPARTAMENTAL,"7a av. 1-12 zona 1",0:10:00,"Agencia Ebano Coban",N/A,"Sin cobertura",,EBANO
32,A035,08.2.035,AGENCIA,"AGENCIA EL PETEN (A035)",DEPARTAMENTAL,"4a calle 3-60 zona 1 Santa Elena",0:10:00,"Agencia Ebano Santa Elena Peten",N/A,"Sin cobertura",,EBANO
33,A036,08.2.036,AGENCIA,"AGENCIA S. PEDRO S. MARCOS I (A36)",DEPARTAMENTAL,"6a calle 5-40 z0na 1 San Pedro",0:10:00,"Agencia Ebano San Marcos",N/A,"Sin cobertura",,EBANO
34,A037,08.2.037,AGENCIA,"AGENCIA HUEHUETENANGO (A037)",DEPARTAMENTAL,"6a av. 1-26 zona 1 Huehue.",0:10:00,"Agencia Ebano Huehuetenango",SI,"Sin cobertura",,EBANO
35,A038,08.2.038,AGENCIA,"AGENCIA CHIMALTENANGO (A038)",DEPARTAMENTAL,"2da calle 1-70 zona 3 Chimatl.",0:10:00,"Agencia Ebano Chimaltenango",N/A,"Sin cobertura",,EBANO
36,A039,08.2.039,AGENCIA,"AGENCIA QUETZALTENANGO II (A039)",DEPARTAMENTAL,"3a calle 19.31 zona 3 Xela",0:10:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
37,A040,08.2.068,AGENCIA,"AGENCIA CIUDAD SAN CRISTÓBAL (A040)",LOCAL,"3Calle 12-94 sector B z. 8 Mixco",0:10:00,"Base San Cristobal",N/A,"Sin cobertura",,EBANO
38,A042,08.2.040,AGENCIA,"AGENCIA AUTO.  PUERTA PARADA (A042)",LOCAL,"Km. 13.5 Carretera al Salvador",0:10:00,"Base Condado","Pre autorizado","Sin cobertura",,EBANO
39,A042A,08.2.040,AGENCIA,"AGENCIA PUERTA PARADA (A42A)",LOCAL,"Km. 13.5 Carretera al Salvador",0:10:00,"Base Condado",N/A,"Sin cobertura",,EBANO
40,A043,08.2.041,AGENCIA,"AGENCIA PLAZA PALMERAS  (A043)",DEPARTAMENTAL,"C.C. Plaza Palmeras Local 38 Esc.",0:10:00,"Agencia Ebano Escuintla",SI,"Sin cobertura",,EBANO
41,A044,08.2.043,AGENCIA,"AGENCIA SAN CRISTOBAL VERAPAZ (A044)",DEPARTAMENTAL,"0 Avenida 2-26 zona 4 Barrio San Felipe, Centro Co",1:00:00,"Agencia Ebano Coban",SI,"Sin cobertura",,EBANO
42,A048,08.2.046,AGENCIA,"AGENCIA LA PRADERA (A048)",LOCAL,"18 calle 25-36 zona 10",0:10:00,"Base zona 10","Pre autorizado","Sin cobertura",,EBANO
43,A048A,08.2.046,AGENCIA,"AGENCIA AUTOBANCO PRADERA (A048A)",LOCAL,"18 calle 25-36 zona 10",0:10:00,"Base zona 10",N/A,"Sin cobertura",,EBANO
44,A049,08.2.047,AGENCIA,"AGENCIA TIKAL FUTURA (A049)",LOCAL,"Calz Roosvelt 22-43 zona 11 niv.1",0:10:00,"Base Roosevelt",SI,"Sin cobertura",,EBANO
45,A051,08.2.044,AGENCIA,"AGENCIA TOTONICAPAN (A051)",DEPARTAMENTAL,"7a. Av. 11-15 zona 1",0:10:00,"Agencia Ebano Totonicapan",N/A,"Sin cobertura",,EBANO
46,A052,08.2.048,AGENCIA,"AGENCIA GRAN CARCHA  (A052)",DEPARTAMENTAL,"7a calle 6-15 zona 2 San Pedro C.",0:30:00,"Agencia Ebano Coban",N/A,"Sin cobertura",,EBANO
47,A053,08.2.049,AGENCIA,"AGENCIA LAS MARGARITAS  (A053)",LOCAL,"Diag. 6 10-01 zona 10 torre II ",0:10:00,"Base zona 10",N/A,"Sin cobertura",,EBANO
48,A054,08.2.050,AGENCIA,"AGENCIA PUERTO BARRIOS (A054)",DEPARTAMENTAL,"7a av. Norte No. 73",0:10:00,"Agencia Ebano Puerto Barrios",N/A,"Sin cobertura",,EBANO
49,A059,08.2.052,AGENCIA,"AGENCIA MIXCO  (A059)",LOCAL,"4a calle 5-36 zona 1 Mixco",0:10:00,"Base Central",N/A,"Sin cobertura",,EBANO
50,A061,08.2.053,AGENCIA,"AGENCIA CHICHICASTENANGO (A061)",DEPARTAMENTAL,"6a calle 6-05 Chichicastenango",0:10:00,"Agencia Ebano Chichicastenango",N/A,"Sin cobertura",,EBANO
51,A062,08.2.132,AGENCIA,"AGENCIA PLAZA ZONA 4 (A062)",LOCAL,"6 Av. Y 24 Calle zona 4",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
52,A064,08.2.056,AGENCIA,"AGENCIA VILLA MAGNA (A064)",LOCAL,"1av. 12-46 Zona 10 Hotel V. M.",0:10:00,"Base zona 10",N/A,"Sin cobertura",,EBANO
53,A065,08.2.057,AGENCIA,"AGENCIA HIPER PUERTA PARADA (A065)",LOCAL,"Km. 15.5 Carretera al Salvador",0:10:00,"Base Condado",SI,"Sin cobertura",,EBANO
54,A066,08.2.055,AGENCIA,"AGENCIA ATLÁNTICO (A066)",LOCAL,"Kilómetro 5 carretera al Atlántico",0:10:00,"Base Norte",N/A,"Sin cobertura",,EBANO
55,A069,08.2.089,AGENCIA,"AGENCIA GALILEO (A069)",LOCAL,"7Av. Fin.Calle Eduardo Cof. Z.10",0:10:00,"Base zona 10",N/A,"Sin cobertura",,EBANO
56,A072,08.2.059,AGENCIA,"AGENCIA PINABETES (A072)",LOCAL,"Km. 19.5 carretera a san José Pinula",0:10:00,"Base Condado",N/A,"Sin cobertura",,EBANO
57,A073,08.2.060,AGENCIA,"AGENCIA MULTIMEDICA (A073)",LOCAL,"2a. Calle 25-19 z. 15 Vista Hermo.1",0:10:00,"Base zona 15",N/A,"Sin cobertura",,EBANO
58,A074,08.2.061,AGENCIA,"AGENCIA MIRAFLORES  (A074)",LOCAL,"21av final Anillo periférico col. Mirador I  Z. 11",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
59,A080,08.2.075,AGENCIA,"AGENCIA MARIANO GALVEZ (A080)",LOCAL,"3a av. 9-00zona 2",0:10:00,"Base Parroquia",N/A,"Sin cobertura",,EBANO
60,A081,08.2.077,AGENCIA,"AGENCIA FRANCISCO MARROQUIN (A081)",LOCAL,"6a calle final zona 10 Edif. Academ.",0:10:00,"Base zona 10",N/A,"Sin cobertura",,EBANO
61,A087,08.2.064,AGENCIA,"AGENCIA ATANASIO TZUL (A087)",LOCAL,"24 Av. 41-81 Z. 12 int. Almacenadora",0:10:00,"Base Petapa Santa Elisa",N/A,"Sin cobertura",,EBANO
62,A091,08.2.084,AGENCIA,"AGENCIA PUERTO SAN JOSE (A091)",DEPARTAMENTAL,"Av. 30 de Junio 3-26 zona 1",0:10:00,"Agencia Ebano Puerto San José",N/A,"Sin cobertura",,EBANO
63,A092,08.2.065,AGENCIA,"AGENCIA PAMPLONA (A092)",LOCAL,"27 Av. 33-85 Z.12 interior Algesa",0:10:00,"Base Petapa Santa Elisa",N/A,"Sin cobertura",,EBANO
64,A093,08.2.066,AGENCIA,"AGENCIA BI PREMIUM MAYA (A093)",LOCAL,"Torre III Nivel 11 Y 12, Centro Financiero",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
65,A095,08.2.067,AGENCIA,"AGENCIA CENTRO CIVICO (A095)",LOCAL,"7a. Avenida 21 calle zona 1 Edif. Corte Suprema de Justicia",0:10:00,"Base Bolivar",N/A,"Sin cobertura",,EBANO
66,A096,08.2.062,AGENCIA,"AGENCIA WALMART VILLA NUEVA (A096)",LOCAL,"Km. 17 carretera al Pacifico",0:10:00,"Base Villa Nueva",N/A,"Sin cobertura",,EBANO
67,A097,08.2.063,AGENCIA,"AGENCIA JALAPA (A097)",DEPARTAMENTAL,"Av. Chipilapa 0-46 Zona 1 Jalapa",0:10:00,"Agencia Ebano Jalapa",SI,"Sin cobertura",,EBANO
68,A101,08.2.091,AGENCIA,"AGENCIA CHIQUIMULA  (A101)",DEPARTAMENTAL,"3calle 5-41 Zona 1 Chiquimula",0:10:00,"Agencia Ebano Chiquimula",SI,"Sin cobertura",,EBANO
69,A103,08.2.094,AGENCIA,"AGENCIA BOCA DEL MONTE (A103)",LOCAL,"Calle principal c.c.Boca del Monte",0:10:00,"Base Las Americas",N/A,"Sin cobertura",,EBANO
70,A104,08.2.093,AGENCIA,"AGENCIA WALMART SAN NICOLAS  (A104)",LOCAL,"41 Av. 3-10 zona 4 Mixco",0:10:00,"Base Florida","Pre autorizado","Sin cobertura",,EBANO
71,A105,08.2.096,AGENCIA,"AGENCIA PLAZA SAN NICOLAS (A105)",LOCAL,"41 Av. 3-10 zona 4 Mixco",0:10:00,"Base Florida",SI,"Sin cobertura",,EBANO
72,A106,08.2.095,AGENCIA,"AGENCIA PRADERA XELA  (A106)",DEPARTAMENTAL,"Av. Las Americas locales 50-51",0:10:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
73,A110,08.2.106,AGENCIA,"AGENCIA JUTIAPA (A110)",DEPARTAMENTAL,"Calz 15 Septiembre 5-01 zona 3",0:10:00,"Agencia Ebano Jutiapa",SI,"Sin cobertura",,EBANO
74,A113,08.2.098,AGENCIA,"AGENCIA XETULUL IRTRA REU. (A113)",DEPARTAMENTAL,"Km. 180.5 Sn Martín Zapotitlan Reu",0:20:00,"Agencia Ebano Retalhuleu",N/A,"Sin cobertura",,EBANO
75,A117,08.2.101,AGENCIA,"AGENCIA WALMART ROOSEVELT (A117)",LOCAL,"Calz Roosevelt 26-95 zona 11",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
76,A117A,08.2.101,AGENCIA,"AGENCIA VENTANILLA WALMART ROOSEVELT (A117A)",LOCAL,"Calz Roosevelt 26-95 zona 11",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
77,A125,08.2.108,AGENCIA,"AGENCIA RIO DULCE (A125)",DEPARTAMENTAL,"Km. 274 Carretera a río Dulce",1:00:00,"Agencia Ebano Morales",N/A,"Sin cobertura",,EBANO
78,A126,08.2.107,AGENCIA,"AGENCIA METRO CENTRO (A126)",LOCAL,"0 calle 16-20 zona 4 Villa Nueva",0:10:00,"Base Villa Nueva",SI,"Sin cobertura",,EBANO
79,A127,08.2.109,AGENCIA,"AGENCIA EL FRUTAL (A127)",LOCAL,"Boulevard Frutal 14 y 16 calle zona 5 Villa Nueva",0:15:00,"Base Villa Nueva",GRATIS,"Sin cobertura",,EBANO
80,A128,08.2.110,AGENCIA,"AGENCIA COBAN QEQCHI (A128)",DEPARTAMENTAL,"3a av. 1-18 zona 4 Cobán",0:10:00,"Agencia Ebano Coban",N/A,"Sin cobertura",,EBANO
81,A136,08.2.088,AGENCIA,"AGENCIA EGSA  ZONA 1  (A136)",LOCAL,"6a Av. 8-14 zona 1",0:10:00,"Base zona 1",N/A,"Sin cobertura",,EBANO
82,A137,08.2.123,AGENCIA,"AGENCIA PANTALEON (A137)",DEPARTAMENTAL,"km 86.5 carretera C.A. 2 Siquinala",0:10:00,"Agencia Ebano Santa Lucia",N/A,"Sin cobertura",,EBANO
83,A142,08.2.124,AGENCIA,"AGENCIA VILLA CANALES (A142)",LOCAL,"2a calle 9-39 zona 1 Villa Canales",0:15:00,"Base Villa Nueva",N/A,"Sin cobertura",,EBANO
84,A143,08.2.127,AGENCIA,"AGENCIA COMBEX (A143)",LOCAL,"15 calle Interior zona 13 ",0:10:00,"Base Las Americas",N/A,"Sin cobertura",,EBANO
85,A144,08.2.551,AGENCIA,"AGENCIA BANCOMATICO (A144)",LOCAL,"7ma. Ave. 5-10 zona 4, 1er. Nivel",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
86,A147,08.2.126,AGENCIA,"AGENCIA CHIQUIMULILLA (A147)",DEPARTAMENTAL,"1a av. 3-65 zona 2 Chiquimulilla",0:10:00,"Agencia Ebano Chiquimulilla",SI,"Sin cobertura",,EBANO
87,A148,08.2.130,AGENCIA,"AGENCIA COBAN MAGDALENA (A148)",DEPARTAMENTAL,"7a Av. 3-67 zona 13 Cobán",0:10:00,"Agencia Ebano Coban",N/A,"Sin cobertura",,EBANO
88,A149,08.2.133,AGENCIA,"AGENCIA GALERIAS MIRAFLORES (A149)",LOCAL,"21 Av. 4-32 zona 11 C.C. Galerías",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
89,A150,08.2.135,AGENCIA,"AGENCIA LA TERMINAL (A150)",LOCAL,"Ruta 8 2-19 zona 4 C.C.el Pino",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
90,A151,08.2.112,AGENCIA,"AGENCIA MONTE MARIA  (A151)",LOCAL,"Km. 14 Carret. Al Pacifico Villa Lobos",0:15:00,"Base Villa Nueva",N/A,"Sin cobertura",,EBANO
91,A152,08.2.113,AGENCIA,"AGENCIA LIZTEX (A152)",LOCAL,"Km. 30.5 Carret. Al Pacifico Amatit.",0:10:00,"Base Amatitlan",N/A,"Sin cobertura",,EBANO
92,A156,08.2.134,AGENCIA,"AGENCIA DEL VALLE (A156)",LOCAL,"18 av. 11-95 zona 15 Vista Herm.3",0:10:00,"Base zona 15",N/A,"Sin cobertura",,EBANO
93,A158,08.2.145,AGENCIA,"AGENCIA EUROPLAZA (A158)",LOCAL,"5a av. 5-55 Zona 14 1er nivel torre I",0:10:00,"Base Las Americas",N/A,"Sin cobertura",,EBANO
94,A159,N/A,AGENCIA,"AGENCIA CLIENTE INTERNO (BANCA CORP.) (A159)",LOCAL,"Nivel 08,  Torre I.
7 Avenida 5-10, Zona 4.","Centro Financiero",N/A,N/A,"Sin cobertura",,EBANO
95,A160,08.2.144,AGENCIA,"AGENCIA TIQUISATE (A160)",DEPARTAMENTAL,"10 av. 10-01 zona 2 Tiquisate",0:10:00,"Agencia Ebano Tiquisate",N/A,"Sin cobertura",,EBANO
96,A162,08.2.136,AGENCIA,"AGENCIA GUALAN (A162)",DEPARTAMENTAL,"1a calle 2-68 zona 4 Gualan",0:15:00,"Agencia Ebano Gualan",SI,"Sin cobertura",,EBANO
97,A163,08.2.137,AGENCIA,"AGENCIA SOLOMA (A163)",DEPARTAMENTAL,"4a calle 3-61 Zona 1 Soloma Huehue",2:30:00,"Agencia Ebano Huehuetenango",N/A,"Sin cobertura",,EBANO
98,A164,08.2.148,AGENCIA,"AGENCIA TACANA (A164)",DEPARTAMENTAL,"5a av. 5-56 zona 1 Tacana S.M.",2:35:00,"Agencia Ebano San Marcos",N/A,"Sin cobertura",,EBANO
99,A167,08.2.149,AGENCIA,"AGENCIA IPALA (A167)",DEPARTAMENTAL,"2a calle 1-78 zona 1 C.C. Santander",0:50:00,"Agencia Ebano Chiquimula",SI,"Sin cobertura",,EBANO
100,A169,08.2.151,AGENCIA,"AGENCIA SAN LUCAS SACAT. (A169)",DEPARTAMENTAL,"Km. 29.9 Carretera Interaméricana",0:15:00,"Agencia Ebano San Lucas",N/A,"Sin cobertura",,EBANO
101,A170,08.2.150,AGENCIA,"AGENCIA ST. TOMAS DE CASTILLA (A170)",DEPARTAMENTAL,"Edificio Plan de prestaciones del trabajador Portuario, 1er. Nivel.",0:30:00,"Agencia Ebano Puerto Barrios",N/A,"Sin cobertura",,EBANO
102,A171,08.2.152,AGENCIA,"AGENCIA SAN FRANCISCO EL ALTO (A171)",DEPARTAMENTAL,"2a calle 3-23 Zona 1 Cton Chisiguan",0:35:00,"Agencia Ebano Totonicapan",N/A,"Sin cobertura",,EBANO
103,A173,08.2.147,AGENCIA,"AGENCIA BARBERENA (A173)",DEPARTAMENTAL,"Km. 53.2 Carretera al Salvador",0:10:00,"Agencia Ebano Barberena",N/A,"Sin cobertura",,EBANO
104,A174,08.2.162,AGENCIA,"AGENCIA DIAGONAL 10 XELA (A174)",DEPARTAMENTAL,"diagona 10 0-34 Z. 6 Complejo Jurid.",0:10:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
105,A175,08.2.155,AGENCIA,"AGENCIA CONCEPCION LAS MINAS (A175)",DEPARTAMENTAL,"1a calle Principal Concep.las Minas",0:45:00,"Agencia Ebano Esquipulas",N/A,"Sin cobertura",,EBANO
106,A176,08.2.154,AGENCIA,"AGENCIA SALAMA (A176)",DEPARTAMENTAL,"4a calle 6-39 zona 1 CC.Plaza Crist.",0:10:00,"Agencia Ebano Salamá",SI,"Sin cobertura",,EBANO
107,A182,08.2.138,AGENCIA,"AGENCIA ASUNCION MITA (A182)",DEPARTAMENTAL,"2a calle entre 4a y 5a Av. Zona 1 ",0:55:00,"Agencia Ebano Jutiapa",N/A,"Sin cobertura",,EBANO
108,A183,08.2.163,AGENCIA,"AGENCIA C.C. ATANASIO TZUL (A183)",LOCAL,"50 calle Av. Petapa zona 12",0:10:00,"Base Petapa Santa Elisa",N/A,"Sin cobertura",,EBANO
109,A185,08.2.168,AGENCIA,"AGENCIA U. RAFAEL LANDIVAR (A185)",LOCAL,"Campus Central Vista Hermosa III",0:10:00,"Base zona 15",N/A,"Sin cobertura",,EBANO
110,A188,08.2.157,AGENCIA,"AGENCIA PRADERA CONCEPCION (A188)",LOCAL,"Km. 15:5 Carretera al Salvador",0:10:00,"Base Condado",N/A,"Sin cobertura",,EBANO
111,A189,08.2.156,AGENCIA,"AGENCIA TRINIDAD RETALHULEU (A189)",DEPARTAMENTAL,"C.C. La Trinidad Retalhuleu",0:10:00,"Agencia Ebano Retalhuleu",N/A,"Sin cobertura",,EBANO
112,A193,08.2.193,AGENCIA,"AGENCIA PRADERA CHIMALTENANGO (A193)",DEPARTAMENTAL,"7a calle 2-02 zona 2 c.c. Pradera",0:15:00,"Agencia Ebano Chimaltenango",N/A,"Sin cobertura",,EBANO
113,A194,08.2.192,AGENCIA,"AGENCIA SANTA AMELIA (A194)",LOCAL,"Boul. C.médico 12-05 Zona 17",0:10:00,"Base zona 15",N/A,"Sin cobertura",,EBANO
114,A198,08.2.164,AGENCIA,"AGENCIA PLAZA ATANASIO (A198)",LOCAL,"Blv. Atanasio Tzul 51-57 zona 12",0:10:00,"Base Petapa Santa Elisa",N/A,"Sin cobertura",,EBANO
115,A199,08.2.645,AGENCIA,"AGENCIA PLAZA CIANI (A199)",DEPARTAMENTAL,"24 avenida 4ta. Calle zona 1, Quetzaltenango",0:10:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
116,A203,08.2.199,AGENCIA,"AGENCIA MONT BLANC (A203)",DEPARTAMENTAL,"4a. Calle 18-01 zona 3",0:10:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
117,A205,08.2.473,AGENCIA,"AGENCIA EL JADE (A205)",LOCAL,"6a. Ave. A 9-23 zona 9",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
118,A206,08.2.201,AGENCIA,"AGENCIA C.C. SAN CRISTÓBAL II (A206)",LOCAL,"Boulevard Principal Zona 8, Mixco",0:10:00,"Base Aguilar Batres",SI,"Sin cobertura",,EBANO
119,A207,08.2.202,AGENCIA,"AGENCIA ROOSEVELT II MEGA CENTRO (A207)",LOCAL,"Clz. Roosevelt 29-60 zona 7",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
120,A208,08.2.203,AGENCIA,"AGENCIA AGUILAR BATRES III (A208)",LOCAL,"Clz. Aguilar Batres 36-50 zona 11",0:10:00,"Base Aguilar Batres",N/A,"Sin cobertura",,EBANO
121,A210,08.2.204,AGENCIA,"AGENCIA MONTUFAR (A210)",LOCAL,"12 Calle 0-93 zona 9 C.C. Montufar",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
122,A211,08.2.205,AGENCIA,"AGENCIA MONTSERRAT (A211)",LOCAL,"Clz. San Juan 14-06 zona 4 de Mixco",0:10:00,"Base Florida",SI,"Sin cobertura",,EBANO
123,A212,08.2.475,AGENCIA,"AGENCIA RENAP CENTRAL (A212)",LOCAL,"Calzada Roosevelt 13-46, zona 7, Guatemala",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
124,A213,08.2.647,AGENCIA,"AGENCIA PLAZA MADERO CARR. AL SV (A213)",LOCAL,"Kilómetro 21.7 Carretera a El Salvador, Comercial Plaza Madero, Locales 18, 19 y 20. Guatemala, Guatemala",0:10:00,"Base Condado",N/A,"Sin cobertura",,EBANO
125,A214,08.2.206,AGENCIA,"AGENCIA PLAZA VILLA NUEVA (A214)",LOCAL,"5a. Calle zona 6 Villa Nueva",0:10:00,"Base Villa Nueva",N/A,"Sin cobertura",,EBANO
126,A215,08.2.207,AGENCIA,"AGENCIA MAZATENANGO II (A215)",DEPARTAMENTAL,"1a. Av. Norte zona 1",0:10:00,"Agencia Ebano Mazatenango",N/A,"Sin cobertura",,EBANO
127,A217,08.2.209,AGENCIA,"AGENCIA GREMIAL EXPORTADORES (A217)",LOCAL,"14 Calle 14-30 zona 13",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
128,A219,08.2.211,AGENCIA,"AGENCIA S. PEDRO S. MARCOS II (A219)",DEPARTAMENTAL,"4av 2-24 z.1 Cantón San Miguel Sn.Pedro Sac. San Marcos",0:10:00,"Agencia Ebano San Marcos",N/A,"Sin cobertura",,EBANO
